,muh,mux,success_rate
479,0.9,2.0,0.746
480,0.9,2.1,0.734
481,0.9,2.2,0.698
482,0.9,2.3,0.662
483,0.9,2.4,0.612
484,0.9,2.5,0.53
485,0.9,2.6,0.514
486,0.9,2.7,0.472
487,0.9,2.8,0.466
488,0.9,2.9,0.424
489,0.9,3.0,0.374
490,0.9,3.1,0.336
491,0.9,3.2,0.298
492,0.9,3.3,0.206
493,0.9,3.4,0.24
494,0.9,3.5,0.23
495,0.9,3.6,0.266
496,0.9,3.7,0.21
497,0.9,3.8,0.168
498,0.9,3.9,0.168
499,0.9,4.0,0.166
500,0.9,4.1,0.158
501,0.9,4.2,0.146
502,0.9,4.3,0.156
503,0.9,4.4,0.134
504,0.9,4.5,0.126
505,0.9,4.6,0.128
506,0.9,4.7,0.116
507,0.9,4.8,0.116
508,0.9,4.9,0.116
509,0.9,5.0,0.092
510,1.0,0.0,0.802
511,1.0,0.1,0.774
512,1.0,0.2,0.766
513,1.0,0.3,0.746
514,1.0,0.4,0.766
515,1.0,0.5,0.776
516,1.0,0.6,0.76
517,1.0,0.7,0.754
518,1.0,0.8,0.756
519,1.0,0.9,0.736
520,1.0,1.0,0.812
521,1.0,1.1,0.786
522,1.0,1.2,0.8
523,1.0,1.3,0.73
524,1.0,1.4,0.75
525,1.0,1.5,0.71
526,1.0,1.6,0.686
527,1.0,1.7,0.7
528,1.0,1.8,0.672
529,1.0,1.9,0.714
530,1.0,2.0,0.758
531,1.0,2.1,0.718
532,1.0,2.2,0.726
533,1.0,2.3,0.674
534,1.0,2.4,0.684
535,1.0,2.5,0.616
536,1.0,2.6,0.53
537,1.0,2.7,0.528
538,1.0,2.8,0.47
539,1.0,2.9,0.432
540,1.0,3.0,0.36
541,1.0,3.1,0.298
542,1.0,3.2,0.288
543,1.0,3.3,0.29
544,1.0,3.4,0.242
545,1.0,3.5,0.254
546,1.0,3.6,0.198
547,1.0,3.7,0.204
548,1.0,3.8,0.212
549,1.0,3.9,0.208
550,1.0,4.0,0.202
551,1.0,4.1,0.17
552,1.0,4.2,0.156
553,1.0,4.3,0.13
554,1.0,4.4,0.134
555,1.0,4.5,0.164
556,1.0,4.6,0.114
557,1.0,4.7,0.114
558,1.0,4.8,0.102
559,1.0,4.9,0.12
560,1.0,5.0,0.1
561,1.1,0.0,0.774
562,1.1,0.1,0.762
563,1.1,0.2,0.754
564,1.1,0.3,0.768
565,1.1,0.4,0.768
566,1.1,0.5,0.79
567,1.1,0.6,0.75
568,1.1,0.7,0.76
569,1.1,0.8,0.768
570,1.1,0.9,0.756
571,1.1,1.0,0.748
572,1.1,1.1,0.78
573,1.1,1.2,0.788
574,1.1,1.3,0.78
575,1.1,1.4,0.736
576,1.1,1.5,0.694
577,1.1,1.6,0.738
578,1.1,1.7,0.736
579,1.1,1.8,0.726
580,1.1,1.9,0.678
581,1.1,2.0,0.736
582,1.1,2.1,0.734
583,1.1,2.2,0.782
584,1.1,2.3,0.746
585,1.1,2.4,0.718
586,1.1,2.5,0.672
587,1.1,2.6,0.622
588,1.1,2.7,0.566
589,1.1,2.8,0.526
590,1.1,2.9,0.46
591,1.1,3.0,0.442
592,1.1,3.1,0.386
593,1.1,3.2,0.336
594,1.1,3.3,0.318
595,1.1,3.4,0.284
596,1.1,3.5,0.272
597,1.1,3.6,0.242
598,1.1,3.7,0.192
599,1.1,3.8,0.228
600,1.1,3.9,0.206
601,1.1,4.0,0.228
602,1.1,4.1,0.208
603,1.1,4.2,0.154
604,1.1,4.3,0.164
605,1.1,4.4,0.16
606,1.1,4.5,0.15
607,1.1,4.6,0.128
608,1.1,4.7,0.114
609,1.1,4.8,0.104
610,1.1,4.9,0.16
611,1.1,5.0,0.114
612,1.2,0.0,0.748
613,1.2,0.1,0.794
614,1.2,0.2,0.774
615,1.2,0.3,0.784
616,1.2,0.4,0.794
617,1.2,0.5,0.788
618,1.2,0.6,0.766
619,1.2,0.7,0.758
620,1.2,0.8,0.736
621,1.2,0.9,0.766
622,1.2,1.0,0.786
623,1.2,1.1,0.786
624,1.2,1.2,0.832
625,1.2,1.3,0.778
626,1.2,1.4,0.778
627,1.2,1.5,0.746
628,1.2,1.6,0.716
629,1.2,1.7,0.71
630,1.2,1.8,0.73
631,1.2,1.9,0.724
632,1.2,2.0,0.708
