,muh1,muh2,mux1,mux2,success_rate
17716,4.8,9.6,-1.2,-2.4,0.088
17717,4.8,9.6,-1.1,-2.2,0.107
17718,4.8,9.6,-1.0,-2.0,0.091
17719,4.8,9.6,-0.9,-1.8,0.091
17720,4.8,9.6,-0.8,-1.6,0.106
17721,4.8,9.6,-0.7,-1.4,0.114
17722,4.8,9.6,-0.6,-1.2,0.107
17723,4.8,9.6,-0.5,-1.0,0.121
17724,4.8,9.6,-0.4,-0.8,0.123
17725,4.8,9.6,-0.3,-0.6,0.128
17726,4.8,9.6,-0.2,-0.4,0.134
17727,4.8,9.6,-0.1,-0.2,0.166
17728,4.8,9.6,0.0,0.0,0.178
17729,4.8,9.6,0.1,0.2,0.189
17730,4.8,9.6,0.2,0.4,0.234
17731,4.8,9.6,0.3,0.6,0.274
17732,4.8,9.6,0.4,0.8,0.345
17733,4.8,9.6,0.5,1.0,0.416
17734,4.8,9.6,0.6,1.2,0.465
17735,4.8,9.6,0.7,1.4,0.535
17736,4.8,9.6,0.8,1.6,0.605
17737,4.8,9.6,0.9,1.8,0.648
17738,4.8,9.6,1.0,2.0,0.704
17739,4.8,9.6,1.1,2.2,0.746
17740,4.8,9.6,1.2,2.4,0.751
17741,4.8,9.6,1.3,2.6,0.821
17742,4.8,9.6,1.4,2.8,0.814
17743,4.8,9.6,1.5,3.0,0.823
17744,4.8,9.6,1.6,3.2,0.855
17745,4.8,9.6,1.7,3.4,0.882
17746,4.8,9.6,1.8,3.6,0.87
17747,4.8,9.6,1.9,3.8,0.873
17748,4.8,9.6,2.0,4.0,0.886
17749,4.8,9.6,2.1,4.2,0.884
17750,4.8,9.6,2.2,4.4,0.913
17751,4.8,9.6,2.3,4.6,0.898
17752,4.8,9.6,2.4,4.8,0.917
17753,4.8,9.6,2.5,5.0,0.904
17754,4.8,9.6,2.6,5.2,0.9
17755,4.8,9.6,2.7,5.4,0.876
17756,4.8,9.6,2.8,5.6,0.898
17757,4.8,9.6,2.9,5.8,0.888
17758,4.8,9.6,3.0,6.0,0.9
17759,4.8,9.6,3.1,6.2,0.896
17760,4.8,9.6,3.2,6.4,0.89
17761,4.8,9.6,3.3,6.6,0.889
17762,4.8,9.6,3.4,6.8,0.861
17763,4.8,9.6,3.5,7.0,0.86
17764,4.8,9.6,3.6,7.2,0.828
17765,4.8,9.6,3.7,7.4,0.857
17766,4.8,9.6,3.8,7.6,0.798
17767,4.8,9.6,3.9,7.8,0.768
17768,4.8,9.6,4.0,8.0,0.724
17769,4.8,9.6,4.1,8.2,0.685
17770,4.8,9.6,4.2,8.4,0.65
17771,4.8,9.6,4.3,8.6,0.584
17772,4.8,9.6,4.4,8.8,0.5
17773,4.8,9.6,4.5,9.0,0.46
17774,4.8,9.6,4.6,9.2,0.427
17775,4.8,9.6,4.7,9.4,0.344
17776,4.8,9.6,4.8,9.6,0.326
17777,4.8,9.6,4.9,9.8,0.256
17778,4.8,9.6,5.0,10.0,0.277
17779,4.8,9.6,5.1,10.2,0.246
17780,4.8,9.6,5.2,10.4,0.24
17781,4.8,9.6,5.3,10.6,0.225
17782,4.8,9.6,5.4,10.8,0.197
17783,4.8,9.6,5.5,11.0,0.215
17784,4.8,9.6,5.6,11.2,0.196
17785,4.8,9.6,5.7,11.4,0.183
17786,4.8,9.6,5.8,11.6,0.206
17787,4.8,9.6,5.9,11.8,0.19
17788,4.8,9.6,6.0,12.0,0.196
17789,4.8,9.6,6.1,12.2,0.213
17790,4.8,9.6,6.2,12.4,0.221
17791,4.8,9.6,6.3,12.6,0.176
17792,4.8,9.6,6.4,12.8,0.2
17793,4.8,9.6,6.5,13.0,0.193
17794,4.8,9.6,6.6,13.2,0.19
17795,4.8,9.6,6.7,13.4,0.216
17796,4.8,9.6,6.8,13.6,0.204
17797,4.8,9.6,6.9,13.8,0.18
