mux,muh,success_rate
-2.4,-2.72,0.844
3.04,-2.4,0.091
1.84,-2.64,0.108
2.4,-3.28,0.101
-0.16,-2.24,0.392
1.36,-3.52,0.105
-0.96,-3.12,0.376
-3.84,-2.96,0.84
-1.6,-4.0,0.278
-2.0,-3.36,0.718
-3.36,-2.08,0.837
-2.32,-2.72,0.846
-0.16,-3.76,0.127
0.48,-2.88,0.128
-1.12,-2.48,0.719
2.48,-3.28,0.084
-3.6,-3.6,0.835
1.44,-3.52,0.075
3.12,-3.92,0.094
-3.76,-2.96,0.844
3.12,-2.4,0.1
1.92,-2.64,0.103
-0.08,-2.24,0.366
-0.88,-3.12,0.308
-2.24,-2.72,0.849
-1.52,-4.0,0.243
-1.92,-3.36,0.685
2.56,-3.28,0.092
-3.28,-2.08,0.846
1.52,-3.52,0.095
-3.68,-2.96,0.851
-0.08,-3.76,0.116
0.56,-2.88,0.144
-1.04,-2.48,0.673
-3.52,-3.6,0.872
3.2,-3.92,0.084
-2.16,-2.72,0.833
3.2,-2.4,0.1
2.0,-2.64,0.107
2.64,-3.28,0.106
0.0,-2.24,0.322
1.6,-3.52,0.099
-0.8,-3.12,0.303
-3.6,-2.96,0.844
-1.44,-4.0,0.243
-3.2,-2.08,0.859
-1.84,-3.36,0.65
-2.08,-2.72,0.814
-0.96,-2.48,0.649
0.64,-2.88,0.128
0.0,-3.76,0.111
-3.44,-3.6,0.85
2.72,-3.28,0.091
1.68,-3.52,0.107
-3.52,-2.96,0.854
3.28,-3.92,0.108
3.28,-2.4,0.094
2.08,-2.64,0.092
0.08,-2.24,0.273
-2.0,-2.72,0.826
-0.72,-3.12,0.302
-3.12,-2.08,0.863
-1.36,-4.0,0.225
-1.76,-3.36,0.603
2.8,-3.28,0.1
1.76,-3.52,0.108
-3.44,-2.96,0.87
-0.88,-2.48,0.636
0.72,-2.88,0.125
0.08,-3.76,0.098
-3.36,-3.6,0.861
-1.92,-2.72,0.824
3.36,-3.92,0.111
3.36,-2.4,0.106
2.16,-2.64,0.108
2.88,-3.28,0.109
0.16,-2.24,0.288
-3.36,-2.96,0.846
1.84,-3.52,0.097
-0.64,-3.12,0.253
-3.04,-2.08,0.867
-1.28,-4.0,0.168
-1.68,-3.36,0.603
-1.84,-2.72,0.791
-0.8,-2.48,0.612
-3.28,-3.6,0.862
0.8,-2.88,0.11
0.16,-3.76,0.108
-3.28,-2.96,0.848
2.96,-3.28,0.092
1.92,-3.52,0.102
3.44,-3.92,0.106
3.44,-2.4,0.091
2.24,-2.64,0.1
0.24,-2.24,0.262
-1.76,-2.72,0.8
-2.96,-2.08,0.844
-0.56,-3.12,0.229
-1.2,-4.0,0.16
-1.6,-3.36,0.593
-3.2,-2.96,0.858
3.04,-3.28,0.104
2.0,-3.52,0.099
-3.2,-3.6,0.827
-0.72,-2.48,0.603
0.88,-2.88,0.119
0.24,-3.76,0.103
-1.68,-2.72,0.751
3.52,-2.4,0.112
3.52,-3.92,0.119
2.32,-2.64,0.099
-3.12,-2.96,0.807
-2.88,-2.08,0.861
3.12,-3.28,0.112
