,mu,sigma,success_rate
8507,2.72,0.23,0.23133333333333334
8508,2.72,0.24,0.25666666666666665
8509,2.72,0.25,0.249
8510,2.72,0.26,0.251
8511,2.72,0.27,0.262
8512,2.72,0.28,0.2796666666666667
8513,2.72,0.29,0.30466666666666664
8514,2.72,0.3,0.30133333333333334
8515,2.72,0.31,0.31133333333333335
8516,2.72,0.32,0.3283333333333333
8517,2.72,0.33,0.311
8518,2.72,0.34,0.3413333333333333
8519,2.72,0.35,0.3526666666666667
8520,2.72,0.36,0.3626666666666667
8521,2.72,0.37,0.38866666666666666
8522,2.72,0.38,0.38966666666666666
8523,2.72,0.39,0.405
8524,2.72,0.4,0.402
8525,2.72,0.41,0.43
8526,2.72,0.42,0.45166666666666666
8527,2.72,0.43,0.461
8528,2.72,0.44,0.467
8529,2.72,0.45,0.4693333333333333
8530,2.72,0.46,0.5043333333333333
8531,2.72,0.47,0.499
8532,2.72,0.48,0.5353333333333333
8533,2.72,0.49,0.5313333333333333
8534,2.72,0.5,0.5323333333333333
8535,2.72,0.51,0.5646666666666667
8536,2.72,0.52,0.5766666666666667
8537,2.72,0.53,0.573
8538,2.72,0.54,0.5863333333333334
8539,2.72,0.55,0.6206666666666667
8540,2.72,0.56,0.6066666666666667
8541,2.72,0.57,0.6386666666666667
8542,2.72,0.58,0.6283333333333333
8543,2.72,0.59,0.661
8544,2.72,0.6,0.6596666666666666
8545,2.72,0.61,0.6766666666666666
8546,2.72,0.62,0.671
8547,2.72,0.63,0.6996666666666667
8548,2.72,0.64,0.6926666666666667
8549,2.72,0.65,0.6923333333333334
8550,2.72,0.66,0.71
8551,2.72,0.67,0.7253333333333334
8552,2.72,0.68,0.7346666666666667
8553,2.72,0.69,0.737
8554,2.72,0.7,0.734
8555,2.72,0.71,0.7513333333333333
8556,2.72,0.72,0.755
8557,2.72,0.73,0.7633333333333333
8558,2.72,0.74,0.77
8559,2.72,0.75,0.7586666666666667
8560,2.72,0.76,0.7776666666666666
8561,2.72,0.77,0.7753333333333333
8562,2.72,0.78,0.777
8563,2.72,0.79,0.785
8564,2.72,0.8,0.778
8565,2.72,0.81,0.7876666666666666
8566,2.72,0.82,0.7913333333333333
8567,2.72,0.83,0.7896666666666666
8568,2.72,0.84,0.7926666666666666
8569,2.72,0.85,0.8023333333333333
8570,2.72,0.86,0.8096666666666666
8571,2.72,0.87,0.8006666666666666
8572,2.72,0.88,0.8076666666666666
8573,2.72,0.89,0.81
8574,2.72,0.9,0.814
8575,2.72,0.91,0.8103333333333333
8576,2.72,0.92,0.827
8577,2.72,0.93,0.8113333333333334
8578,2.72,0.94,0.8076666666666666
8579,2.72,0.95,0.81
8580,2.72,0.96,0.8033333333333333
8581,2.72,0.97,0.824
8582,2.72,0.98,0.831
8583,2.72,0.99,0.816
8584,2.72,1.0,0.8273333333333334
8585,2.8,0.0,0.12033333333333333
8586,2.8,0.01,0.12233333333333334
8587,2.8,0.02,0.13166666666666665
8588,2.8,0.03,0.136
8589,2.8,0.04,0.12733333333333333
