$\sigma_{x_1}$,$\sigma_{x_2}$,$\sigma_{h_1}$,$\sigma_{h_2}$,success_rate
2.48,4.96,0.64,0.64,0.343
0.64,1.28,0.76,0.76,0.606
2.8,5.6,0.84,0.84,0.379
0.88,1.76,0.2,0.2,0.274
3.04,6.08,0.28,0.28,0.253
0.12,0.24,0.36,0.36,0.475
0.36,0.72,0.56,0.56,0.546
3.32,6.64,0.48,0.48,0.278
3.6,7.2,0.68,0.68,0.299
1.44,2.88,0.6,0.6,0.422
2.8,5.6,0.08,0.08,0.235
1.16,2.32,0.4,0.4,0.33
1.72,3.44,0.8,0.8,0.495
1.68,3.36,0.04,0.04,0.207
0.64,1.28,0.0,0.0,0.196
2.28,4.56,0.44,0.44,0.307
1.96,3.92,0.24,0.24,0.258
3.84,7.68,0.12,0.12,0.201
0.96,1.92,0.96,0.96,0.684
3.92,7.84,0.88,0.88,0.363
2.52,5.04,0.64,0.64,0.349
0.68,1.36,0.76,0.76,0.643
2.84,5.68,0.84,0.84,0.416
3.08,6.16,0.28,0.28,0.261
3.36,6.72,0.48,0.48,0.286
0.4,0.8,0.56,0.56,0.59
0.16,0.32,0.36,0.36,0.477
0.92,1.84,0.2,0.2,0.296
3.64,7.28,0.68,0.68,0.352
1.48,2.96,0.6,0.6,0.431
0.68,1.36,0.0,0.0,0.193
2.84,5.68,0.08,0.08,0.212
1.2,2.4,0.4,0.4,0.381
2.32,4.64,0.44,0.44,0.287
