$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
7.9,9.9,-3.3,-3.3,0.094
0.9,2.9,-1.0,-1.0,0.19
9.3,11.3,-2.3,-2.3,0.094
10.7,12.7,-1.3,-1.3,0.094
12.1,14.1,-0.3,-0.3,0.094
-1.1,0.8999999999999999,-2.5,-2.5,0.232
1.7,3.7,-0.5,-0.5,0.166
8.6,10.6,-2.8,-2.8,0.094
12.8,14.8,0.2,0.2,0.094
10.1,12.1,-1.8,-1.8,0.103
-2.5,-0.5,-3.5,-3.5,0.292
-1.7,0.30000000000000004,-3.0,-3.0,0.245
7.2,9.2,-3.8,-3.8,0.094
-3.1,-1.1,-4.0,-4.0,0.306
13.5,15.5,0.7,0.7,0.094
2.4,4.4,0.0,0.0,0.138
10.8,12.8,-1.3,-1.3,0.103
0.4,2.4,-1.5,-1.5,0.155
-0.3,1.7,-2.0,-2.0,0.192
1.0,3.0,-1.0,-1.0,0.157
12.2,14.2,-0.3,-0.3,0.103
3.1,5.1,0.5,0.5,0.131
11.6,13.6,-0.8,-0.8,0.092
8.0,10.0,-3.3,-3.3,0.103
-1.0,1.0,-2.5,-2.5,0.214
1.8,3.8,-0.5,-0.5,0.158
9.4,11.4,-2.3,-2.3,0.103
7.3,9.3,-3.8,-3.8,0.103
8.7,10.7,-2.8,-2.8,0.103
12.9,14.9,0.2,0.2,0.103
-1.6,0.3999999999999999,-3.0,-3.0,0.216
-2.4,-0.3999999999999999,-3.5,-3.5,0.265
10.2,12.2,-1.8,-1.8,0.092
-3.0,-1.0,-4.0,-4.0,0.278
12.3,14.3,-0.3,-0.3,0.092
10.9,12.9,-1.3,-1.3,0.092
13.6,15.6,0.7,0.7,0.103
2.5,4.5,0.0,0.0,0.15
1.9,3.9,-0.5,-0.5,0.142
11.7,13.7,-0.8,-0.8,0.095
0.5,2.5,-1.5,-1.5,0.16
-0.9,1.1,-2.5,-2.5,0.221
1.1,3.1,-1.0,-1.0,0.179
8.1,10.1,-3.3,-3.3,0.092
-0.2,1.8,-2.0,-2.0,0.177
9.5,11.5,-2.3,-2.3,0.092
8.8,10.8,-2.8,-2.8,0.092
7.4,9.4,-3.8,-3.8,0.092
3.2,5.2,0.5,0.5,0.114
-2.3,-0.2999999999999998,-3.5,-3.5,0.293
13.0,15.0,0.2,0.2,0.092
10.3,12.3,-1.8,-1.8,0.095
-1.5,0.5,-3.0,-3.0,0.218
-2.9,-0.8999999999999999,-4.0,-4.0,0.284
12.4,14.4,-0.3,-0.3,0.095
11.0,13.0,-1.3,-1.3,0.095
13.7,15.7,0.7,0.7,0.092
11.8,13.8,-0.8,-0.8,0.101
9.6,11.6,-2.3,-2.3,0.095
2.0,4.0,-0.5,-0.5,0.158
0.6,2.6,-1.5,-1.5,0.162
2.6,4.6,0.0,0.0,0.145
3.3,5.3,0.5,0.5,0.094
8.2,10.2,-3.3,-3.3,0.095
1.2,3.2,-1.0,-1.0,0.15
-1.4,0.6000000000000001,-3.0,-3.0,0.207
-2.8,-0.7999999999999998,-4.0,-4.0,0.256
-0.1,1.9,-2.0,-2.0,0.154
12.5,14.5,-0.3,-0.3,0.101
-0.8,1.2,-2.5,-2.5,0.188
7.5,9.5,-3.8,-3.8,0.095
-2.2,-0.20000000000000018,-3.5,-3.5,0.217
8.9,10.9,-2.8,-2.8,0.095
11.1,13.1,-1.3,-1.3,0.101
