$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
13.0,15.0,-0.3,1.7,0.085
2.5,4.5,-0.5,1.5,0.236
10.1,12.1,-2.3,-0.2999999999999998,0.097
13.6,15.6,0.2,2.2,0.097
4.0,6.0,0.5,2.5,0.186
0.5,2.5,-2.0,0.0,0.356
-1.6,0.3999999999999999,-3.5,-1.5,0.571
9.4,11.4,-2.8,-0.7999999999999998,0.097
1.9,3.9,-1.0,1.0,0.281
8.1,10.1,-3.8,-1.7999999999999998,0.085
10.8,12.8,-1.8,0.19999999999999996,0.097
3.2,5.2,0.0,2.0,0.2
12.2,14.2,-0.8,1.2,0.097
-2.4,-0.3999999999999999,-4.0,-2.0,0.629
8.8,10.8,-3.3,-1.2999999999999998,0.085
-0.3,1.7,-2.5,-0.5,0.452
1.2,3.2,-1.5,0.5,0.303
11.6,13.6,-1.3,0.7,0.085
13.1,15.1,-0.3,1.7,0.11
-0.8,1.2,-3.0,-1.0,0.425
14.4,16.4,0.7,2.7,0.085
2.6,4.6,-0.5,1.5,0.227
4.1,6.1,0.5,2.5,0.159
9.5,11.5,-2.8,-0.7999999999999998,0.085
10.2,12.2,-2.3,-0.2999999999999998,0.085
2.0,4.0,-1.0,1.0,0.238
13.7,15.7,0.2,2.2,0.085
10.9,12.9,-1.8,0.19999999999999996,0.085
12.3,14.3,-0.8,1.2,0.085
8.2,10.2,-3.8,-1.7999999999999998,0.11
3.3,5.3,0.0,2.0,0.205
-1.5,0.5,-3.5,-1.5,0.505
0.6,2.6,-2.0,0.0,0.32
8.9,10.9,-3.3,-1.2999999999999998,0.11
-0.2,1.8,-2.5,-0.5,0.391
-2.3,-0.2999999999999998,-4.0,-2.0,0.586
13.2,15.2,-0.3,1.7,0.09
11.7,13.7,-1.3,0.7,0.11
2.7,4.7,-0.5,1.5,0.235
4.2,6.2,0.5,2.5,0.168
14.5,16.5,0.7,2.7,0.11
9.6,11.6,-2.8,-0.7999999999999998,0.11
1.3,3.3,-1.5,0.5,0.282
-0.7,1.3,-3.0,-1.0,0.408
3.4,5.4,0.0,2.0,0.185
2.1,4.1,-1.0,1.0,0.225
10.3,12.3,-2.3,-0.2999999999999998,0.11
12.4,14.4,-0.8,1.2,0.11
8.3,10.3,-3.8,-1.7999999999999998,0.09
-0.1,1.9,-2.5,-0.5,0.337
13.8,15.8,0.2,2.2,0.11
11.0,13.0,-1.8,0.19999999999999996,0.11
9.0,11.0,-3.3,-1.2999999999999998,0.09
-1.4,0.6000000000000001,-3.5,-1.5,0.473
0.7,2.7,-2.0,0.0,0.314
-2.2,-0.20000000000000018,-4.0,-2.0,0.532
11.8,13.8,-1.3,0.7,0.09
13.3,15.3,-0.3,1.7,0.104
1.4,3.4,-1.5,0.5,0.254
2.8,4.8,-0.5,1.5,0.195
4.3,6.3,0.5,2.5,0.172
9.7,11.7,-2.8,-0.7999999999999998,0.09
14.6,16.6,0.7,2.7,0.09
10.4,12.4,-2.3,-0.2999999999999998,0.09
-0.6,1.4,-3.0,-1.0,0.36
3.5,5.5,0.0,2.0,0.166
0.0,2.0,-2.5,-0.5,0.352
0.8,2.8,-2.0,0.0,0.267
2.2,4.2,-1.0,1.0,0.209
13.9,15.9,0.2,2.2,0.09
11.1,13.1,-1.8,0.19999999999999996,0.09
12.5,14.5,-0.8,1.2,0.09
8.4,10.4,-3.8,-1.7999999999999998,0.104
-1.3,0.7,-3.5,-1.5,0.446
11.9,13.9,-1.3,0.7,0.104
1.5,3.5,-1.5,0.5,0.242
-2.1,-0.10000000000000009,-4.0,-2.0,0.512
9.1,11.1,-3.3,-1.2999999999999998,0.104
10.5,12.5,-2.3,-0.2999999999999998,0.104
13.4,15.4,-0.3,1.7,0.12
2.9,4.9,-0.5,1.5,0.206
3.6,5.6,0.0,2.0,0.178
-0.5,1.5,-3.0,-1.0,0.365
14.7,16.7,0.7,2.7,0.104
4.4,6.4,0.5,2.5,0.153
9.8,11.8,-2.8,-0.7999999999999998,0.104
2.3,4.3,-1.0,1.0,0.217
0.9,2.9,-2.0,0.0,0.238
0.1,2.1,-2.5,-0.5,0.355
-1.2,0.8,-3.5,-1.5,0.397
11.2,13.2,-1.8,0.19999999999999996,0.104
14.0,16.0,0.2,2.2,0.104
8.5,10.5,-3.8,-1.7999999999999998,0.12
12.0,14.0,-1.3,0.7,0.12
12.6,14.6,-0.8,1.2,0.104
10.6,12.6,-2.3,-0.2999999999999998,0.12
1.6,3.6,-1.5,0.5,0.261
-2.0,0.0,-4.0,-2.0,0.533
9.2,11.2,-3.3,-1.2999999999999998,0.12
13.5,15.5,-0.3,1.7,0.106
3.7,5.7,0.0,2.0,0.166
14.8,16.8,0.7,2.7,0.12
-0.4,1.6,-3.0,-1.0,0.308
3.0,5.0,-0.5,1.5,0.174
4.5,6.5,0.5,2.5,0.145
2.4,4.4,-1.0,1.0,0.182
9.9,11.9,-2.8,-0.7999999999999998,0.12
0.2,2.2,-2.5,-0.5,0.309
1.0,3.0,-2.0,0.0,0.245
8.6,10.6,-3.8,-1.7999999999999998,0.106
10.7,12.7,-2.3,-0.2999999999999998,0.106
14.1,16.1,0.2,2.2,0.12
-1.1,0.8999999999999999,-3.5,-1.5,0.373
11.3,13.3,-1.8,0.19999999999999996,0.12
-1.9,0.10000000000000009,-4.0,-2.0,0.498
12.1,14.1,-1.3,0.7,0.106
12.7,14.7,-0.8,1.2,0.12
1.7,3.7,-1.5,0.5,0.191
13.6,15.6,-0.3,1.7,0.103
14.9,16.9,0.7,2.7,0.106
3.1,5.1,-0.5,1.5,0.185
4.6,6.6,0.5,2.5,0.137
2.5,4.5,-1.0,1.0,0.185
-0.3,1.7,-3.0,-1.0,0.315
9.3,11.3,-3.3,-1.2999999999999998,0.106
3.8,5.8,0.0,2.0,0.181
0.3,2.3,-2.5,-0.5,0.276
10.0,12.0,-2.8,-0.7999999999999998,0.106
1.1,3.1,-2.0,0.0,0.233
8.7,10.7,-3.8,-1.7999999999999998,0.103
10.8,12.8,-2.3,-0.2999999999999998,0.103
14.2,16.2,0.2,2.2,0.106
-1.8,0.19999999999999996,-4.0,-2.0,0.462
-1.0,1.0,-3.5,-1.5,0.35
11.4,13.4,-1.8,0.19999999999999996,0.106
15.0,17.0,0.7,2.7,0.103
12.8,14.8,-0.8,1.2,0.106
1.8,3.8,-1.5,0.5,0.213
12.2,14.2,-1.3,0.7,0.103
2.6,4.6,-1.0,1.0,0.183
3.9,5.9,0.0,2.0,0.162
1.2,3.2,-2.0,0.0,0.197
4.7,6.7,0.5,2.5,0.152
-0.2,1.8,-3.0,-1.0,0.298
3.2,5.2,-0.5,1.5,0.188
13.7,15.7,-0.3,1.7,0.115
0.4,2.4,-2.5,-0.5,0.279
10.1,12.1,-2.8,-0.7999999999999998,0.103
9.4,11.4,-3.3,-1.2999999999999998,0.103
10.9,12.9,-2.3,-0.2999999999999998,0.115
8.8,10.8,-3.8,-1.7999999999999998,0.115
-1.7,0.30000000000000004,-4.0,-2.0,0.416
14.3,16.3,0.2,2.2,0.103
11.5,13.5,-1.8,0.19999999999999996,0.103
15.1,17.1,0.7,2.7,0.115
-0.9,1.1,-3.5,-1.5,0.308
12.3,14.3,-1.3,0.7,0.115
12.9,14.9,-0.8,1.2,0.103
1.9,3.9,-1.5,0.5,0.212
0.5,2.5,-2.5,-0.5,0.242
-0.1,1.9,-3.0,-1.0,0.303
2.7,4.7,-1.0,1.0,0.166
1.3,3.3,-2.0,0.0,0.204
4.8,6.8,0.5,2.5,0.154
4.0,6.0,0.0,2.0,0.141
3.3,5.3,-0.5,1.5,0.157
13.8,15.8,-0.3,1.7,0.129
10.2,12.2,-2.8,-0.7999999999999998,0.115
9.5,11.5,-3.3,-1.2999999999999998,0.115
11.0,13.0,-2.3,-0.2999999999999998,0.129
