$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
0.9,2.0,-3.5,2.0,0.866
-3.8,2.0,-2.5,2.0,0.889
-0.2,2.0,-1.9,2.0,0.888
4.5,2.0,-2.9,2.0,0.343
-2.6,2.0,-2.3,2.0,0.852
1.0,2.0,-1.7,2.0,0.839
2.7,2.0,-3.2,2.0,0.766
3.9,2.0,-3.0,2.0,0.526
1.7,2.0,-1.6,2.0,0.819
-3.2,2.0,-2.4,2.0,0.869
0.5,2.0,-1.8,2.0,0.858
-0.2,2.0,-3.7,2.0,0.862
1.0,2.0,-3.5,2.0,0.854
-3.7,2.0,-2.5,2.0,0.872
-0.1,2.0,-1.9,2.0,0.866
4.6,2.0,-2.9,2.0,0.319
-2.5,2.0,-2.3,2.0,0.866
1.1,2.0,-1.7,2.0,0.826
2.8,2.0,-3.2,2.0,0.759
1.8,2.0,-1.6,2.0,0.799
0.6,2.0,-1.8,2.0,0.853
4.0,2.0,-3.0,2.0,0.488
-0.1,2.0,-3.7,2.0,0.886
-3.1,2.0,-2.4,2.0,0.87
1.1,2.0,-3.5,2.0,0.848
-3.6,2.0,-2.5,2.0,0.855
0.0,2.0,-1.9,2.0,0.869
4.7,2.0,-2.9,2.0,0.339
-2.4,2.0,-2.3,2.0,0.873
1.2,2.0,-1.7,2.0,0.842
2.9,2.0,-3.2,2.0,0.713
1.9,2.0,-1.6,2.0,0.814
0.7,2.0,-1.8,2.0,0.853
4.1,2.0,-3.0,2.0,0.455
-3.0,2.0,-2.4,2.0,0.856
0.0,2.0,-3.7,2.0,0.867
1.2,2.0,-3.5,2.0,0.858
-3.5,2.0,-2.5,2.0,0.859
0.1,2.0,-1.9,2.0,0.859
4.8,2.0,-2.9,2.0,0.298
-2.3,2.0,-2.3,2.0,0.868
3.0,2.0,-3.2,2.0,0.706
1.3,2.0,-1.7,2.0,0.835
2.0,2.0,-1.6,2.0,0.788
4.2,2.0,-3.0,2.0,0.435
0.8,2.0,-1.8,2.0,0.833
-2.9,2.0,-2.4,2.0,0.853
0.1,2.0,-3.7,2.0,0.847
1.3,2.0,-3.5,2.0,0.817
